product_id,name,category,material,color,style,price,rating
P0038,Minimalist Leather Chair,Chair,Leather,Beige,Minimalist,5253,4.3
P0039,Minimalist Leather Bed,Bed,Leather,White,Minimalist,57671,5.0
P0040,Modern Fabric Wardrobe,Wardrobe,Fabric,Blue,Modern,40148,4.7
P0041,Modern Fabric Chair,Chair,Fabric,White,Modern,2081,5.0
P0042,Vintage Wood Wardrobe,Wardrobe,Wood,White,Vintage,29419,4.9
P0043,Vintage Leather Table,Table,Leather,White,Vintage,22263,3.9
P0044,Vintage Glass Wardrobe,Wardrobe,Glass,Grey,Vintage,31083,4.7
P0045,Industrial Leather Chair,Chair,Leather,Blue,Industrial,6917,4.4
P0046,Industrial Glass Wardrobe,Wardrobe,Glass,White,Industrial,41916,4.2
P0047,Modern Leather Table,Table,Leather,Beige,Modern,13984,4.8
P0048,Modern Glass Table,Table,Glass,Beige,Modern,14276,4.7
P0049,Industrial Fabric Table,Table,Fabric,Beige,Industrial,17643,3.6
P0050,Minimalist Leather Sofa,Sofa,Leather,Blue,Minimalist,36339,4.6
P0051,Contemporary Metal Chair,Chair,Metal,Black,Contemporary,7976,4.2
P0052,Minimalist Metal Table,Table,Metal,Black,Minimalist,6337,4.1
P0053,Minimalist Glass Chair,Chair,Glass,Beige,Minimalist,8158,3.8
P0054,Modern Wood Sofa,Sofa,Wood,Brown,Modern,39562,4.4
P0055,Minimalist Fabric Sofa,Sofa,Fabric,Black,Minimalist,39065,3.5
P0056,Modern Leather Sofa,Sofa,Leather,Beige,Modern,60808,3.7
P0057,Minimalist Fabric Chair,Chair,Fabric,Grey,Minimalist,3233,4.3
P0058,Minimalist Metal Sofa,Sofa,Metal,Brown,Minimalist,53276,4.1
P0059,Minimalist Wood Wardrobe,Wardrobe,Wood,Brown,Minimalist,34094,3.8
P0060,Modern Metal Wardrobe,Wardrobe,Metal,Brown,Modern,19138,4.3
P0061,Modern Leather Table,Table,Leather,Brown,Modern,24249,4.6
P0062,Minimalist Glass Sofa,Sofa,Glass,Brown,Minimalist,20048,3.4
P0063,Vintage Leather Wardrobe,Wardrobe,Leather,Beige,Vintage,38522,4.2
P0064,Modern Wood Wardrobe,Wardrobe,Wood,Grey,Modern,34645,4.2
P0065,Industrial Leather Bed,Bed,Leather,Beige,Industrial,58684,4.5
P0066,Vintage Glass Bed,Bed,Glass,Grey,Vintage,56617,4.2
P0067,Vintage Wood Wardrobe,Wardrobe,Wood,White,Vintage,36319,3.6
P0068,Modern Wood Chair,Chair,Wood,Black,Modern,3415,3.5
P0069,Minimalist Leather Sofa,Sofa,Leather,Brown,Minimalist,27449,4.7
P0070,Industrial Wood Table,Table,Wood,Beige,Industrial,13371,4.6
P0071,Vintage Wood Sofa,Sofa,Wood,Grey,Vintage,72254,4.1
P0072,Minimalist Wood Chair,Chair,Wood,Blue,Minimalist,4685,4.0
P0073,Contemporary Glass Chair,Chair,Glass,White,Contemporary,8236,4.2
P0074,Vintage Fabric Wardrobe,Wardrobe,Fabric,Blue,Vintage,39272,4.1
P0075,Contemporary Leather Bed,Bed,Leather,Brown,Contemporary,15992,3.3
P0076,Modern Glass Wardrobe,Wardrobe,Glass,Brown,Modern,49367,5.0
P0077,Vintage Glass Chair,Chair,Glass,Beige,Vintage,2225,3.9
P0078,Industrial Wood Sofa,Sofa,Wood,Grey,Industrial,67135,4.0
P0079,Modern Fabric Bed,Bed,Fabric,Blue,Modern,16379,3.8
P0080,Modern Fabric Sofa,Sofa,Fabric,Beige,Modern,61653,4.6
P0081,Vintage Metal Chair,Chair,Metal,Beige,Vintage,9650,5.0
P0082,Contemporary Glass Bed,Bed,Glass,Black,Contemporary,47847,3.5
P0083,Minimalist Metal Bed,Bed,Metal,Grey,Minimalist,27467,3.9
P0084,Vintage Glass Bed,Bed,Glass,Blue,Vintage,34058,4.0
P0085,Contemporary Metal Sofa,Sofa,Metal,White,Contemporary,53149,3.3
P0086,Minimalist Wood Wardrobe,Wardrobe,Wood,Grey,Minimalist,15124,4.1
P0087,Vintage Wood Wardrobe,Wardrobe,Wood,Beige,Vintage,28168,3.7
P0088,Industrial Metal Bed,Bed,Metal,Black,Industrial,18935,4.9
P0089,Modern Metal Wardrobe,Wardrobe,Metal,Blue,Modern,41667,4.6
P0090,Minimalist Leather Bed,Bed,Leather,Grey,Minimalist,28779,4.7
P0091,Contemporary Leather Chair,Chair,Leather,Blue,Contemporary,6851,4.8
P0092,Contemporary Wood Bed,Bed,Wood,Black,Contemporary,47951,3.4
P0093,Contemporary Fabric Chair,Chair,Fabric,Beige,Contemporary,7470,3.1
P0094,Industrial Wood Chair,Chair,Wood,Beige,Industrial,5837,4.9
P0095,Vintage Glass Chair,Chair,Glass,Black,Vintage,7712,4.4
P0096,Industrial Glass Table,Table,Glass,Beige,Industrial,15235,4.3
P0097,Minimalist Metal Wardrobe,Wardrobe,Metal,Black,Minimalist,31729,3.5
P0098,Modern Leather Wardrobe,Wardrobe,Leather,Black,Modern,17198,4.8
P0099,Contemporary Fabric Bed,Bed,Fabric,Black,Contemporary,30478,3.9
P0100,Industrial Glass Sofa,Sofa,Glass,Grey,Industrial,24360,4.3
P0101,Industrial Metal Table,Table,Metal,Black,Industrial,22424,3.4
P0102,Contemporary Metal Table,Table,Metal,Black,Contemporary,22935,3.2
P0103,Modern Glass Wardrobe,Wardrobe,Glass,Brown,Modern,27044,4.1
P0104,Vintage Fabric Sofa,Sofa,Fabric,Grey,Vintage,45969,4.8
P0105,Industrial Leather Sofa,Sofa,Leather,White,Industrial,32407,4.9
P0106,Vintage Metal Wardrobe,Wardrobe,Metal,Grey,Vintage,20229,3.9
P0107,Vintage Glass Chair,Chair,Glass,Brown,Vintage,7435,3.5
P0108,Industrial Leather Sofa,Sofa,Leather,Beige,Industrial,41559,3.0
P0109,Contemporary Wood Chair,Chair,Wood,Brown,Contemporary,8612,5.0
P0110,Modern Wood Chair,Chair,Wood,White,Modern,3503,4.9
P0111,Modern Fabric Wardrobe,Wardrobe,Fabric,Brown,Modern,11847,4.2
P0112,Vintage Wood Bed,Bed,Wood,Blue,Vintage,48273,3.6
P0113,Vintage Metal Table,Table,Metal,Grey,Vintage,17075,4.7
P0114,Contemporary Leather Bed,Bed,Leather,Grey,Contemporary,44379,3.5
P0115,Minimalist Glass Bed,Bed,Glass,Brown,Minimalist,47664,4.7
P0116,Contemporary Fabric Table,Table,Fabric,Brown,Contemporary,6255,4.6
P0117,Industrial Fabric Sofa,Sofa,Fabric,Beige,Industrial,66502,3.8
P0118,Vintage Leather Chair,Chair,Leather,Beige,Vintage,3405,4.2
P0119,Modern Metal Chair,Chair,Metal,Beige,Modern,3573,3.2
P0120,Modern Wood Table,Table,Wood,Grey,Modern,10989,3.9
P0121,Vintage Fabric Chair,Chair,Fabric,Grey,Vintage,9809,4.7
P0122,Modern Wood Sofa,Sofa,Wood,Beige,Modern,21726,3.7
P0123,Vintage Leather Sofa,Sofa,Leather,Black,Vintage,36322,4.7
P0124,Contemporary Wood Chair,Chair,Wood,Blue,Contemporary,6272,3.6
P0125,Vintage Metal Wardrobe,Wardrobe,Metal,White,Vintage,15659,4.0
P0126,Contemporary Wood Table,Table,Wood,Brown,Contemporary,11424,3.3
P0127,Contemporary Leather Table,Table,Leather,Beige,Contemporary,18963,3.1
P0128,Minimalist Glass Sofa,Sofa,Glass,Beige,Minimalist,71790,4.1
P0129,Minimalist Glass Bed,Bed,Glass,Grey,Minimalist,24571,4.3
P0130,Vintage Glass Bed,Bed,Glass,Grey,Vintage,51731,3.2
P0131,Vintage Wood Table,Table,Wood,Blue,Vintage,11287,4.8
P0132,Contemporary Wood Chair,Chair,Wood,Blue,Contemporary,4561,4.9
P0133,Industrial Glass Table,Table,Glass,Black,Industrial,19292,4.0
P0134,Industrial Fabric Table,Table,Fabric,Black,Industrial,23662,4.0
P0135,Modern Metal Chair,Chair,Metal,Beige,Modern,9568,3.7
P0136,Minimalist Fabric Sofa,Sofa,Fabric,Black,Minimalist,50911,3.9
P0137,Vintage Glass Bed,Bed,Glass,Blue,Vintage,34106,4.0
P0138,Industrial Fabric Wardrobe,Wardrobe,Fabric,White,Industrial,46021,4.6
P0139,Industrial Fabric Bed,Bed,Fabric,Brown,Industrial,41141,3.0
P0140,Contemporary Wood Wardrobe,Wardrobe,Wood,Beige,Contemporary,21775,4.2
P0141,Contemporary Fabric Wardrobe,Wardrobe,Fabric,Black,Contemporary,43490,3.3
P0142,Minimalist Metal Chair,Chair,Metal,Brown,Minimalist,4665,4.4
P0143,Modern Glass Bed,Bed,Glass,Black,Modern,55909,3.5
P0144,Minimalist Wood Sofa,Sofa,Wood,Beige,Minimalist,28937,3.1
P0145,Vintage Metal Bed,Bed,Metal,Beige,Vintage,33308,4.0
P0146,Industrial Metal Wardrobe,Wardrobe,Metal,Beige,Industrial,40633,4.8
P0147,Vintage Metal Chair,Chair,Metal,Brown,Vintage,2974,3.6
P0148,Minimalist Metal Bed,Bed,Metal,Black,Minimalist,46002,3.1
P0149,Minimalist Metal Bed,Bed,Metal,White,Minimalist,23260,4.9
P0150,Industrial Glass Bed,Bed,Glass,Brown,Industrial,23920,3.6
P0151,Contemporary Leather Chair,Chair,Leather,Beige,Contemporary,8156,3.5
P0152,Contemporary Fabric Wardrobe,Wardrobe,Fabric,Grey,Contemporary,23398,4.5
P0153,Modern Glass Chair,Chair,Glass,Blue,Modern,2636,3.8
P0154,Vintage Metal Sofa,Sofa,Metal,Black,Vintage,69992,4.6
P0155,Contemporary Metal Wardrobe,Wardrobe,Metal,Grey,Contemporary,11410,3.2
P0156,Industrial Wood Chair,Chair,Wood,Brown,Industrial,5522,3.4
P0157,Contemporary Leather Chair,Chair,Leather,Beige,Contemporary,7503,4.2
P0158,Industrial Metal Wardrobe,Wardrobe,Metal,Brown,Industrial,20625,3.6
P0159,Industrial Leather Sofa,Sofa,Leather,Brown,Industrial,38329,3.8
P0160,Contemporary Fabric Table,Table,Fabric,Grey,Contemporary,21128,4.2
P0161,Modern Glass Chair,Chair,Glass,Beige,Modern,2631,3.6
P0162,Minimalist Fabric Sofa,Sofa,Fabric,Beige,Minimalist,57113,4.6
P0163,Industrial Wood Sofa,Sofa,Wood,Black,Industrial,25843,4.0
P0164,Minimalist Metal Bed,Bed,Metal,Brown,Minimalist,36384,3.4
P0165,Minimalist Leather Wardrobe,Wardrobe,Leather,Grey,Minimalist,23722,4.5
P0166,Minimalist Leather Chair,Chair,Leather,Beige,Minimalist,5823,4.1
P0167,Modern Glass Bed,Bed,Glass,Blue,Modern,55795,4.2
P0168,Vintage Leather Bed,Bed,Leather,Brown,Vintage,32906,4.7
P0169,Minimalist Leather Chair,Chair,Leather,White,Minimalist,3233,3.1
P0170,Minimalist Leather Chair,Chair,Leather,Black,Minimalist,2902,3.6
P0171,Minimalist Metal Wardrobe,Wardrobe,Metal,Black,Minimalist,15274,3.6
P0172,Minimalist Leather Wardrobe,Wardrobe,Leather,Brown,Minimalist,25928,4.0
P0173,Modern Metal Table,Table,Metal,Blue,Modern,17775,4.2
P0174,Vintage Glass Bed,Bed,Glass,Blue,Vintage,45976,3.1
P0175,Contemporary Wood Table,Table,Wood,Black,Contemporary,19613,4.2
P0176,Industrial Metal Bed,Bed,Metal,White,Industrial,44241,4.7
P0177,Vintage Glass Bed,Bed,Glass,Beige,Vintage,38776,4.3
P0178,Minimalist Wood Sofa,Sofa,Wood,Blue,Minimalist,65621,4.5
P0179,Contemporary Metal Chair,Chair,Metal,Brown,Contemporary,4736,4.4
P0180,Industrial Glass Sofa,Sofa,Glass,Beige,Industrial,33932,4.3
P0181,Contemporary Metal Bed,Bed,Metal,Blue,Contemporary,59201,3.6
P0182,Vintage Glass Sofa,Sofa,Glass,Grey,Vintage,32739,4.8
P0183,Vintage Glass Chair,Chair,Glass,Brown,Vintage,6045,4.9
P0184,Minimalist Metal Bed,Bed,Metal,Black,Minimalist,41958,3.6
P0185,Contemporary Wood Bed,Bed,Wood,Beige,Contemporary,56250,3.4
P0186,Vintage Leather Table,Table,Leather,Blue,Vintage,20405,3.2
P0187,Vintage Metal Chair,Chair,Metal,Beige,Vintage,5541,4.1
P0188,Modern Leather Table,Table,Leather,Beige,Modern,9245,4.6
P0189,Modern Metal Wardrobe,Wardrobe,Metal,White,Modern,14754,4.3
P0190,Minimalist Fabric Chair,Chair,Fabric,Grey,Minimalist,4835,4.0
P0191,Vintage Fabric Bed,Bed,Fabric,Blue,Vintage,49748,4.3
P0192,Minimalist Metal Table,Table,Metal,White,Minimalist,9519,4.8
P0193,Minimalist Wood Table,Table,Wood,White,Minimalist,13401,4.6
P0194,Minimalist Wood Chair,Chair,Wood,Beige,Minimalist,4483,4.2
P0195,Minimalist Metal Bed,Bed,Metal,White,Minimalist,46710,3.5
P0196,Industrial Wood Wardrobe,Wardrobe,Wood,Black,Industrial,29896,3.9
P0197,Minimalist Fabric Sofa,Sofa,Fabric,White,Minimalist,35041,3.2
P0198,Contemporary Leather Chair,Chair,Leather,Brown,Contemporary,5320,3.8
P0199,Vintage Metal Table,Table,Metal,Brown,Vintage,11626,3.3
P0200,Industrial Wood Sofa,Sofa,Wood,Brown,Industrial,42528,4.1
P0201,Modern Metal Bed,Bed,Metal,Black,Modern,37571,4.4
P0202,Modern Leather Sofa,Sofa,Leather,Grey,Modern,30364,3.6
P0203,Vintage Metal Chair,Chair,Metal,Blue,Vintage,2805,4.5
P0204,Industrial Leather Sofa,Sofa,Leather,Beige,Industrial,78895,4.2
P0205,Vintage Wood Wardrobe,Wardrobe,Wood,Black,Vintage,31231,4.1
P0206,Vintage Glass Chair,Chair,Glass,Grey,Vintage,4245,4.3
P0207,Industrial Glass Sofa,Sofa,Glass,White,Industrial,41138,3.7
P0208,Minimalist Glass Table,Table,Glass,Blue,Minimalist,7234,3.3
P0209,Industrial Wood Sofa,Sofa,Wood,Beige,Industrial,36115,4.4
P0210,Industrial Fabric Bed,Bed,Fabric,Grey,Industrial,50120,4.5
P0211,Industrial Metal Wardrobe,Wardrobe,Metal,White,Industrial,12894,4.9
P0212,Minimalist Metal Sofa,Sofa,Metal,Grey,Minimalist,67830,4.3
P0213,Vintage Leather Bed,Bed,Leather,Black,Vintage,51158,3.2
P0214,Minimalist Glass Table,Table,Glass,Beige,Minimalist,18931,3.2
P0215,Industrial Fabric Sofa,Sofa,Fabric,White,Industrial,72850,3.1
P0216,Industrial Glass Sofa,Sofa,Glass,Grey,Industrial,60127,4.3
P0217,Industrial Metal Chair,Chair,Metal,White,Industrial,5872,4.9
P0218,Modern Metal Table,Table,Metal,Brown,Modern,18064,3.8
P0219,Modern Fabric Table,Table,Fabric,Black,Modern,11961,4.7
P0220,Contemporary Metal Chair,Chair,Metal,Blue,Contemporary,3546,4.5
P0221,Minimalist Fabric Table,Table,Fabric,White,Minimalist,17304,4.0
P0222,Vintage Fabric Wardrobe,Wardrobe,Fabric,Blue,Vintage,31576,4.7
P0223,Vintage Metal Wardrobe,Wardrobe,Metal,Blue,Vintage,14801,3.8
P0224,Contemporary Wood Sofa,Sofa,Wood,Blue,Contemporary,50470,4.8
P0225,Vintage Fabric Sofa,Sofa,Fabric,Brown,Vintage,72244,3.1
P0226,Modern Fabric Chair,Chair,Fabric,Beige,Modern,5512,3.0
P0227,Vintage Wood Sofa,Sofa,Wood,Brown,Vintage,59632,3.7
P0228,Modern Wood Table,Table,Wood,Blue,Modern,9716,3.1
P0229,Minimalist Wood Bed,Bed,Wood,Brown,Minimalist,54257,4.4
P0230,Minimalist Fabric Sofa,Sofa,Fabric,Black,Minimalist,35898,4.6
P0231,Industrial Glass Chair,Chair,Glass,Black,Industrial,5724,3.8
P0232,Industrial Glass Chair,Chair,Glass,Blue,Industrial,5615,4.1
P0233,Industrial Glass Wardrobe,Wardrobe,Glass,Brown,Industrial,29685,3.0
P0234,Industrial Fabric Bed,Bed,Fabric,Brown,Industrial,48689,3.3
P0235,Contemporary Wood Bed,Bed,Wood,Grey,Contemporary,36266,4.3
P0236,Modern Leather Bed,Bed,Leather,Black,Modern,48987,3.0
P0237,Minimalist Glass Sofa,Sofa,Glass,Beige,Minimalist,46043,4.0
P0238,Industrial Wood Chair,Chair,Wood,White,Industrial,6819,4.1
P0239,Minimalist Leather Wardrobe,Wardrobe,Leather,Blue,Minimalist,18141,3.0
P0240,Vintage Wood Bed,Bed,Wood,Blue,Vintage,54755,3.6
P0241,Contemporary Leather Bed,Bed,Leather,White,Contemporary,31103,3.2
P0242,Minimalist Glass Sofa,Sofa,Glass,Blue,Minimalist,70895,3.5
P0243,Contemporary Wood Wardrobe,Wardrobe,Wood,Grey,Contemporary,46611,4.8
P0244,Minimalist Fabric Bed,Bed,Fabric,Brown,Minimalist,51345,4.4
P0245,Vintage Leather Bed,Bed,Leather,Blue,Vintage,47032,4.0
P0246,Modern Leather Table,Table,Leather,Brown,Modern,15772,4.6
P0247,Modern Metal Bed,Bed,Metal,Grey,Modern,28491,4.2
P0248,Minimalist Glass Bed,Bed,Glass,Brown,Minimalist,44037,3.4
P0249,Minimalist Glass Chair,Chair,Glass,White,Minimalist,6681,3.8
P0250,Industrial Leather Wardrobe,Wardrobe,Leather,White,Industrial,14484,3.7
P0251,Contemporary Wood Sofa,Sofa,Wood,Beige,Contemporary,68606,3.8
P0252,Minimalist Glass Table,Table,Glass,White,Minimalist,12536,4.0
P0253,Modern Leather Chair,Chair,Leather,Beige,Modern,4722,3.1
P0254,Minimalist Leather Sofa,Sofa,Leather,Grey,Minimalist,65528,3.7
P0255,Minimalist Glass Chair,Chair,Glass,Brown,Minimalist,5389,3.6
P0256,Minimalist Metal Wardrobe,Wardrobe,Metal,Grey,Minimalist,37137,4.0
P0257,Contemporary Wood Wardrobe,Wardrobe,Wood,Beige,Contemporary,45767,4.2
P0258,Minimalist Leather Wardrobe,Wardrobe,Leather,White,Minimalist,38842,3.5
P0259,Industrial Glass Chair,Chair,Glass,White,Industrial,9500,3.4
P0260,Vintage Glass Sofa,Sofa,Glass,Grey,Vintage,79169,4.9
P0261,Vintage Metal Wardrobe,Wardrobe,Metal,White,Vintage,46443,4.0
P0262,Modern Leather Bed,Bed,Leather,Brown,Modern,43711,3.7
P0263,Industrial Fabric Wardrobe,Wardrobe,Fabric,Beige,Industrial,48745,3.2
P0264,Minimalist Wood Chair,Chair,Wood,Grey,Minimalist,3833,4.5
P0265,Contemporary Fabric Wardrobe,Wardrobe,Fabric,Beige,Contemporary,29849,4.5
P0266,Minimalist Fabric Wardrobe,Wardrobe,Fabric,Blue,Minimalist,46691,3.3
P0267,Minimalist Fabric Wardrobe,Wardrobe,Fabric,Blue,Minimalist,18394,3.4
P0268,Industrial Wood Table,Table,Wood,Brown,Industrial,6249,4.9
P0269,Minimalist Wood Sofa,Sofa,Wood,Brown,Minimalist,28427,3.2
P0270,Industrial Fabric Wardrobe,Wardrobe,Fabric,Beige,Industrial,13877,3.0
P0271,Industrial Fabric Chair,Chair,Fabric,Blue,Industrial,4197,4.7
P0272,Contemporary Wood Sofa,Sofa,Wood,Brown,Contemporary,35870,4.3
P0273,Industrial Wood Bed,Bed,Wood,Beige,Industrial,29706,3.1
P0274,Minimalist Leather Bed,Bed,Leather,Black,Minimalist,38352,4.9
P0275,Industrial Leather Wardrobe,Wardrobe,Leather,White,Industrial,33961,4.0
P0276,Industrial Fabric Table,Table,Fabric,Beige,Industrial,5612,3.5
P0277,Contemporary Glass Chair,Chair,Glass,Black,Contemporary,3702,3.6
P0278,Modern Glass Table,Table,Glass,Black,Modern,22903,3.6
P0279,Industrial Glass Wardrobe,Wardrobe,Glass,Grey,Industrial,41208,4.1
P0280,Modern Wood Table,Table,Wood,Black,Modern,17682,4.8
P0281,Modern Glass Wardrobe,Wardrobe,Glass,Blue,Modern,35958,4.7
P0282,Contemporary Leather Wardrobe,Wardrobe,Leather,White,Contemporary,22214,3.5
P0283,Vintage Fabric Chair,Chair,Fabric,Blue,Vintage,7260,3.1
P0284,Industrial Fabric Wardrobe,Wardrobe,Fabric,Grey,Industrial,26941,4.2
P0285,Modern Metal Wardrobe,Wardrobe,Metal,Beige,Modern,35988,3.5
P0286,Modern Glass Table,Table,Glass,White,Modern,12169,3.2
P0287,Minimalist Leather Bed,Bed,Leather,Blue,Minimalist,24530,3.5
P0288,Vintage Wood Bed,Bed,Wood,Black,Vintage,47017,4.9
P0289,Contemporary Metal Sofa,Sofa,Metal,Grey,Contemporary,64050,4.2
P0290,Minimalist Fabric Bed,Bed,Fabric,White,Minimalist,43684,4.6
P0291,Industrial Fabric Wardrobe,Wardrobe,Fabric,Grey,Industrial,45220,3.6
P0292,Modern Leather Bed,Bed,Leather,Beige,Modern,15305,4.1
P0293,Minimalist Metal Wardrobe,Wardrobe,Metal,Black,Minimalist,12987,3.1
P0294,Contemporary Leather Chair,Chair,Leather,Beige,Contemporary,6385,3.6
P0295,Industrial Glass Wardrobe,Wardrobe,Glass,Grey,Industrial,31269,4.7
P0296,Minimalist Leather Bed,Bed,Leather,Black,Minimalist,53566,3.9
P0297,Minimalist Metal Sofa,Sofa,Metal,Blue,Minimalist,49239,3.3
P0298,Minimalist Fabric Table,Table,Fabric,Brown,Minimalist,14648,4.5
P0299,Industrial Metal Wardrobe,Wardrobe,Metal,Grey,Industrial,29157,4.9
P0300,Modern Leather Wardrobe,Wardrobe,Leather,Blue,Modern,43213,3.1
P0301,Minimalist Wood Table,Table,Wood,Grey,Minimalist,10143,3.8
P0302,Vintage Metal Table,Table,Metal,White,Vintage,11543,4.0
P0303,Industrial Leather Wardrobe,Wardrobe,Leather,Grey,Industrial,25165,3.6
P0304,Modern Wood Table,Table,Wood,Beige,Modern,9028,4.3
P0305,Vintage Metal Chair,Chair,Metal,Brown,Vintage,5904,4.5
P0306,Contemporary Leather Wardrobe,Wardrobe,Leather,Blue,Contemporary,45295,3.0
P0307,Vintage Wood Sofa,Sofa,Wood,Brown,Vintage,51088,4.4
P0308,Contemporary Leather Chair,Chair,Leather,White,Contemporary,2657,3.2
P0309,Industrial Leather Bed,Bed,Leather,Blue,Industrial,34054,4.2
P0310,Industrial Metal Sofa,Sofa,Metal,Black,Industrial,67682,4.8
P0311,Contemporary Leather Table,Table,Leather,Black,Contemporary,10798,4.2
P0312,Industrial Leather Chair,Chair,Leather,White,Industrial,6180,3.8
P0313,Vintage Leather Chair,Chair,Leather,Blue,Vintage,4107,4.7
P0314,Industrial Wood Chair,Chair,Wood,Brown,Industrial,5755,4.3
P0315,Minimalist Fabric Chair,Chair,Fabric,Blue,Minimalist,9636,3.5
P0316,Vintage Glass Table,Table,Glass,Black,Vintage,10374,4.7
P0317,Contemporary Glass Bed,Bed,Glass,Grey,Contemporary,27060,3.1
P0318,Industrial Fabric Table,Table,Fabric,Beige,Industrial,19000,4.9
P0319,Minimalist Wood Bed,Bed,Wood,White,Minimalist,58345,4.5
P0320,Modern Wood Chair,Chair,Wood,White,Modern,2056,3.5
P0321,Minimalist Leather Chair,Chair,Leather,Brown,Minimalist,3895,4.6
P0322,Minimalist Metal Sofa,Sofa,Metal,White,Minimalist,39341,3.3
P0323,Vintage Glass Wardrobe,Wardrobe,Glass,Black,Vintage,13493,4.6
P0324,Minimalist Metal Chair,Chair,Metal,Blue,Minimalist,8924,4.8
P0325,Minimalist Wood Wardrobe,Wardrobe,Wood,White,Minimalist,49880,3.0
P0326,Contemporary Metal Wardrobe,Wardrobe,Metal,Blue,Contemporary,15696,3.3
P0327,Vintage Metal Chair,Chair,Metal,Black,Vintage,3523,3.8
P0328,Contemporary Glass Sofa,Sofa,Glass,Beige,Contemporary,58863,3.5
P0329,Modern Fabric Wardrobe,Wardrobe,Fabric,Grey,Modern,46916,4.4
P0330,Modern Leather Wardrobe,Wardrobe,Leather,White,Modern,46489,3.3
P0331,Modern Glass Sofa,Sofa,Glass,Black,Modern,74644,5.0
P0332,Industrial Leather Table,Table,Leather,Beige,Industrial,12532,3.5
P0333,Minimalist Metal Wardrobe,Wardrobe,Metal,Grey,Minimalist,46924,4.8
P0334,Minimalist Wood Sofa,Sofa,Wood,Black,Minimalist,51975,3.4
P0335,Minimalist Wood Sofa,Sofa,Wood,White,Minimalist,62344,3.4
P0336,Minimalist Wood Bed,Bed,Wood,Blue,Minimalist,40339,3.0
P0337,Vintage Leather Bed,Bed,Leather,Brown,Vintage,58360,4.0
P0338,Minimalist Glass Chair,Chair,Glass,Grey,Minimalist,3217,5.0
P0339,Contemporary Glass Chair,Chair,Glass,Blue,Contemporary,4593,3.9
P0340,Vintage Wood Bed,Bed,Wood,Brown,Vintage,23795,4.8
P0341,Minimalist Wood Chair,Chair,Wood,Brown,Minimalist,7250,4.8
P0342,Industrial Leather Bed,Bed,Leather,Black,Industrial,53361,3.6
